"date","topic importance","word_1","word_2","word_3","word_4","word_5","word_6","word_7","word_8","word_9","word_10"
"2023-04-18 05:03:49.39188","1st","need","school","chair","nigerian","lazy","youth","now","ask","handicap","people"
"2023-04-18 05:03:49.391882","2nd","apc","passport","same","truth","party","always","fire","so","almost","desperation"
"2023-04-18 05:03:49.391882","3rd","time","tinubu","democracy","here","show","bury","mention","start","go","take"
"2023-04-18 05:03:49.391883","4th","apc","people","vote","election","know","one","court","see","dey","say"
"2023-04-18 05:03:49.391884","5th","governor","still","go","good","verify","year","job","government","focus","there"
"2023-04-18 05:03:49.391885","6th","stop","just","atiku","know","need","work","do","now","win","support"
"2023-04-18 05:03:49.391885","7th","citizenship","most","ever","dual","give","use","president","own","yrs","apc"
"2023-04-18 05:03:49.391886","8th","bat","apc","sleep","case","peter_obi","vote","north","commit","other","thug"
"2023-04-18 05:03:49.391887","9th","tinubus","love","andamp","lago","people","smart","primary","very","wike","say"
"2023-04-18 05:03:49.391888","10th","say","make","supporter","conduct","tell","far","rig","add","corruption","election"
"2023-04-20 05:03:20.234295","1st","president","bless","good","steal","people","thank","make","too","mandate","feel"
"2023-04-20 05:03:20.234296","2nd","just","say","rule","now","rd","use","even","do","reason","candidate"
"2023-04-20 05:03:20.234297","3rd","same","just","problem","go","people","long","way","lago","agbero","dey"
"2023-04-20 05:03:20.234298","4th","so","ask","government","crime","state","lago","day","commit","apc","dey"
"2023-04-20 05:03:20.234298","5th","man","go","very","bad","record","obedient","propaganda","think","criminal","federal"
"2023-04-20 05:03:20.234299","6th","re","call","saint","show","come","disgrace","think","say","compare","know"
"2023-04-20 05:03:20.2343","7th","get","vote","court","speak","northern","master","shame","like","po","talk"
"2023-04-20 05:03:20.2343","8th","even","guy","apc","money","people","atiku","hold","hear","mean","know"
"2023-04-20 05:03:20.234301","9th","nigerian","apc","one","say","ve","abeg","election","passport","s","keep"
"2023-04-20 05:03:20.234302","10th","new","s","come","tell","soon","deal","continue","part","other","see"
"2023-04-21 05:03:11.360274","2nd","party","say","just","woman","state","musmus","ticket","gather","set","apc"
"2023-04-21 05:03:11.360274","3rd","sense","get","ritual","go","blame","destiny","don_use","well","know","man"
"2023-04-21 05:03:11.360275","4th","take","ever","see","really","free","ask","election","people","talk","deep"
"2023-04-21 05:03:11.360275","5th","re","dey","make","swear","drug","just","same","play","big","special"
"2023-04-21 05:03:11.360276","6th","president","get","thank","see","country","never","tinubu","so","s","try"
"2023-04-21 05:03:11.360277","7th","own","go","first","war","truth","speak","know","too","only","religious"
"2023-04-21 05:03:11.360277","8th","apc","court","say","stop","propaganda","muslim","call","especially","video","north"
"2023-04-21 05:03:11.360278","9th","use","time","way","judiciary","go","yoruba","too","other","all","want"
"2023-04-21 05:03:11.360278","10th","criminal","daddy","guy","lago","andamp","mandate","igbo","apc","responsible","even"
"2023-04-22 05:03:27.148741","1st","nigerian","as","swear","governor","national","urchin","business","reject","import","ever"
"2023-04-22 05:03:27.148742","2nd","know","drug","like","still","same","obi","hand","free","break","support"
"2023-04-22 05:03:27.148743","3rd","bad","get","vote","apc","come","money","case","know","country","fail"
"2023-04-22 05:03:27.148744","4th","man","now","understand","give","obidient","also","atiku","instead","fight","apc"
"2023-04-22 05:03:27.148745","5th","say","s","vote","apc","start","thing","fact","hear","blame","look"
"2023-04-22 05:03:27.148745","6th","say","want","dualcitizenship","people","so","own","move","m","judge","share"
"2023-04-22 05:03:27.148746","7th","make","say","call","too","time","phone","party","use","go","more"
"2023-04-22 05:03:27.148747","8th","political","call","election","just","shout","muslim","now","ambition","else","let"
"2023-04-22 05:03:27.148748","9th","president","pray","nigerian","plan","people","kill","good","andamp","leave","vote"
"2023-04-22 05:03:27.148748","10th","only","so","president","apc","call","lose","hate","tinubu","tired","great"
"2023-04-23 05:03:33.177202","1st","know","ask","case","go","much","house","get","tweet","pain","bribe"
"2023-04-23 05:03:33.177203","2nd","old","corruption","well","supporter","people","bunch","truth","record","see","obi"
"2023-04-23 05:03:33.177204","3rd","say","just","kid","never","tell","go","forward","company","nigerian","diplomacy"
"2023-04-23 05:03:33.177205","4th","want","close","mind","become","know","daddy","mentor","politic","learn","pple"
"2023-04-23 05:03:33.177206","5th","way","politician","fact","atiku","people","governor","keep","plan","thief","presidential"
"2023-04-23 05:03:33.177206","6th","year","debt","get","pay","leave","steal","thing","make","ask","thief"
"2023-04-23 05:03:33.177207","7th","court","vote","peter_obi","petition","apc","s","election","high","win","favour"
"2023-04-23 05:03:33.177208","8th","president","so","hate","take","come","loan","love","idea","place","away"
"2023-04-23 05:03:33.177209","9th","man","other","drug","bat","support","apc","member","follow","fit","state"
"2023-04-23 05:03:33.17721","10th","leave","apc","year","most","same","see","even","get","happen","nigerian"
"2023-04-15 05:03:15.842033","1st","election","state","talk","many","other","andamp","traffic","news","narcotic","certificate"
"2023-04-15 05:03:15.842035","2nd","world","talk","say","man","apc","s","lie","life","most","actually"
"2023-04-15 05:03:15.842036","3rd","so","support","propaganda","show","start","apc","money","much","also","head"
"2023-04-15 05:03:15.842037","4th","well","fact","understand","m","drug","day","just","lol","thank","even"
"2023-04-15 05:03:15.842037","5th","apc","people","want","know","see","just","try","always","think","go"
"2023-04-15 05:03:15.842038","6th","come","property","work","love","still","delete","post","more","food","prayer"
"2023-04-15 05:03:15.842039","7th","nigerian","really","too","year","good","apc","one","look","give","tell"
"2023-04-15 05:03:15.84204","8th","re","do","real","andamp","see","also","ve","property","only","take"
"2023-04-15 05:03:15.842041","9th","more","country","time","even","person","name","s","become","dey","candidate"
"2023-04-15 05:03:15.842042","10th","win","violence","s","vote","know","election","people","believe","else","history"
"2023-04-16 05:02:49.594824","1st","declare","winner","here","work","total","s","vote","drug","insult","voter"
"2023-04-16 05:02:49.594825","2nd","apc","even","only","say","election","criminal","country","tinubu","case","still"
"2023-04-16 05:02:49.594826","3rd","apc","meet","make","governor","come","west","photo","melaye","delegate","rep"
"2023-04-16 05:02:49.594827","4th","health","good","apc","body","keep","give","there","alarm","whereabout","raise"
"2023-04-16 05:02:49.594828","5th","know","apc","also","win","pdp","buy","break","people","congratulation","election"
"2023-04-16 05:02:49.594829","6th","nigerian","move","leave","warn","yrs","drug","keep","father","let","also"
"2023-04-16 05:02:49.59483","7th","candidate","no","leader","want","make","primary","atiku","time","bola","friend"
"2023-04-16 05:02:49.594831","8th","apc","cause","sure","own","take","one","put","mediocrity","unravel","example"
"2023-04-16 05:02:49.594831","9th","now","member","opposition","do","senator","yen","job","dino","agency","security"
"2023-04-16 05:02:49.594832","10th","so","apc","thug","again","government","lp","get","imo","allegedly","people"
"2023-04-17 05:03:44.69415","1st","use","take","apc","man","governor","dino","selfish","reject","interest","rep"
"2023-04-17 05:03:44.694152","2nd","now","apc","bring","so","perjury","work","country","get","time","guinea"
"2023-04-17 05:03:44.694153","3rd","apc","think","play","good","give","part","fail","party","country","re"
"2023-04-17 05:03:44.694154","4th","people","time","ask","want","know","apc","arrest","tell","win","declare"
"2023-04-17 05:03:44.694154","5th","win","dino","apc","melaye","even","truth","election","make","president","then"
"2023-04-17 05:03:44.694155","6th","no","try","disgrace","follow","whole","thing","people","say","police","defend"
"2023-04-17 05:03:44.694156","7th","know","get","vote","atiku","question","member","see","even","election","look"
"2023-04-17 05:03:44.694157","8th","go","give","now","man","way","just","right","woman","nigerian","senator"
"2023-04-17 05:03:44.694158","9th","see","come","bad","say","even","state","elect","late","same","time"
"2023-04-17 05:03:44.694159","10th","bring","president","life","allow","lie","just","fact","accord","tinubu","electoral"
"2023-04-19 05:03:06.693412","1st","now","air","daddy","drug","poverty","anambra","tomorrow","region","ask","state"
"2023-04-19 05:03:06.693414","2nd","governor","just","give","time","see","go","pain","youth","agbado","tweet"
"2023-04-19 05:03:06.693415","3rd","people","president","want","build","government","gutter","try","allow","able","country"
"2023-04-19 05:03:06.693415","4th","just","state","good","wicked","never","use","picture","selfish","politician","win"
"2023-04-19 05:03:06.693416","5th","make","president","re","apc","other","s","become","mistake","only","live"
"2023-04-19 05:03:06.693417","6th","just","know","love","so","call","drug","keep","family","support","happy"
"2023-04-19 05:03:06.693418","7th","go","apc","dino","vote","m","need","back","free","energy","werey"
"2023-04-19 05:03:06.693418","8th","right","land","remain","mandate","sea","people","look","never","course","nation"
"2023-04-19 05:03:06.693419","9th","say","come","well","north","lie","stop","sir","bad","dey","law"
"2023-04-19 05:03:06.69342","10th","talk","man","hope","election","still","lead","okwute","issue","take","inspire"
"2023-04-21 05:03:11.360271","1st","una","people","election","even","back","buhari","actually","time","father","hypocrite"
